country,leader,alliance,army_size,navy,equipment,factories,training,last_online,region/_source,alliance/_text,gdp,alliance/_source,region/_text,manpower,airforce,region,territory,pageUrl,oil reserves,uranium,reactor,reputation,rm_prod,oil_prod
Silverra,chohakkai,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 7 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61729,,,,Normal,,
KaIfa,kaIfa,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 3 hours ago,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61737,,,,Normal,,
GGk ok,Ashiya,,29k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=ind,,$300 million,,East Indies,Untapped,None,http://blocgame.com/rankings.php?subregion=ind,None,http://blocgame.com/stats.php?id=61745,,,,Normal,,
Alorian,Azril91,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 7 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61749,,,,Normal,,
Ficasso,FAIBLO,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 151 hours ago,rankings.php?subregion=per,,$300 million,,Persia,Untapped,None,http://blocgame.com/rankings.php?subregion=per,None,http://blocgame.com/stats.php?id=61752,,,,Normal,,
Raja Udang,Mario,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 7 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61754,,,,Normal,,
Aaronafeltz,Alex the Red,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 95 hours ago,rankings.php?subregion=con,,$300 million,,Southern Cone,Untapped,None,http://blocgame.com/rankings.php?subregion=con,None,http://blocgame.com/stats.php?id=61758,,,,Normal,,
qaiserazalea,mr.elz,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 1 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61763,,,,Normal,,
Rengit,merahsakti,,29k active personnel,0 ships,First World War surplus,,Elite,online now,rankings.php?subregion=congo,,$300 million,,Congo,Untapped,None,http://blocgame.com/rankings.php?subregion=congo,None,http://blocgame.com/stats.php?id=61769,231 Mbbl,,,Normal,3 Hundred Tons per month,
axmbest,amsyah80,,20k active personnel,0 ships,Finest of the 19th century,,Standard,last online 37 hours ago,rankings.php?subregion=pac,,$300 million,,Pacific Rim,Untapped,None,http://blocgame.com/rankings.php?subregion=pac,None,http://blocgame.com/stats.php?id=61772,,,,Normal,,
