country,leader,alliance,army_size,navy,equipment,factories,training,last_online,gdp,oil_reserves,region/_text,uranium,manpower,airforce,territory,pageUrl,
MikesPisshole,MikeButJewish,The Golden Company,73,4,Second World War surplus,4,Elite,0,4064,0,Guinea,0,Plentiful,Powerful,25817,http://blocgame.com/stats.php?id=57391,
Bubupooka,Princess Rahalia,Brotherhood of Zion,222,4,Persian Gulf War surplus,6,Elite,1,4567,0,Southern Africa,0,0,Very Powerful,54215,http://blocgame.com/stats.php?id=44960,
Viaduct's Rise,Martin Ensvet,The High Council,47,10,Korean War surplus,4,Elite,13,3979,0,Congo,0,Near Depletion,Large,33270,http://blocgame.com/stats.php?id=57813,
Apollonia,aekakiac,Brotherhood of Nod,108,9,Vietnam War surplus,3,Standard,160,3905,6227,Egypt,0,Untapped,Large,20000,http://blocgame.com/stats.php?id=55816,
Free Phoenix,Captain Mandrake,BAMF,61,3,Second World War surplus,2,Elite,13,3981,0,Mesoamerica,0,Untapped,Powerful,20135,http://blocgame.com/stats.php?id=58198,
Burlmenia,Nathan Barlow,0,133,7,Korean War surplus,5,Standard,4,3948,0,Amazonia,0,Untapped,Somewhat Large,27086,http://blocgame.com/stats.php?id=57957,
Urubigguay,A big guy,Wreckage brothers,142,11,Almost Modern,8,Good,2,3823,0,Arabia,0,Untapped,Very Powerful,80554,http://blocgame.com/stats.php?id=53076,
New Java,Stalker,S.T.A.L.K.E.R.,81,2,Korean War surplus,5,Good,10,3920,0,East Indies,0,Untapped,Very Powerful,36879,http://blocgame.com/stats.php?id=56984,
Yugoslothia,Yugoslothia,Wreckage brothers,121,9,Vietnam War surplus,6,Elite,4,3859,2756,Egypt,0,Untapped,Very Powerful,27107,http://blocgame.com/stats.php?id=55968,
Dixie,Karazian,Brotherhood of Zion,89,23,Almost Modern,3,Standard,77,3793,0,China,0,Untapped,Very Powerful,18339,http://blocgame.com/stats.php?id=50628,
Lippe,The Landser,S.T.A.L.K.E.R.,112,7,Vietnam War surplus,4,Elite,16,3836,0,Southern Africa,0,Near Depletion,Very Powerful,29599,http://blocgame.com/stats.php?id=55767,
SW Africa,Wilhelm II,Wreckage brothers,105,20,Vietnam War surplus,5,Good,17,3751,0,Southern Africa,0,Untapped,Very Powerful,22469,http://blocgame.com/stats.php?id=55313,
Mnemosyne,Solus,BAMF,67,11,Second World War surplus,4,Elite,3,4573,0,Pacific Rim,0,Untapped,Powerful,26486,http://blocgame.com/stats.php?id=57952,
Nova Ikaki,Bisimbi,BAMF,211,14,Persian Gulf War surplus,6,Good,3,4591,0,Arabia,0,0,Very Powerful,60549,http://blocgame.com/stats.php?id=55911,
SlavLand,Tsar Svetoslav,UoHN,191,18,Almost Modern,8,Standard,3,3736,2303,Persia,2,Untapped,Very Powerful,43707,http://blocgame.com/stats.php?id=51011,
whitmanistan,slim,EUN,91,3,Second World War surplus,5,Good,4,3805,3957,Mesopotamia,0,Untapped,Large,46543,http://blocgame.com/stats.php?id=36344,
Desert Fox,schmitzz,Inter/pol/,179,7,Korean War surplus,6,Elite,0,3677,0,Arabia,0,Untapped,Powerful,41240,http://blocgame.com/stats.php?id=56662,
Huaxia,Cin Gungtang,Brotherhood of Nod,96,5,Second World War surplus,5,Good,14,3749,0,China,0,Plentiful,Very Powerful,21764,http://blocgame.com/stats.php?id=58320,
Utopiastan,SilmAlpha,BAMF,12,3,Korean War surplus,4,Good,0,3665,0,Guinea,0,Untapped,Powerful,27621,http://blocgame.com/stats.php?id=56876,
Persia_Iran,Txheat512,Socialist Arab Union,147,3,Vietnam War surplus,5,Elite,4,3507,7271,Persia,0,0,Very Powerful,25090,http://blocgame.com/stats.php?id=57306,
Arborea,Arbus,Brotherhood of Nod,100,3,Korean War surplus,4,Elite,15,3708,473,West Africa,0,0,Somewhat Large,30388,http://blocgame.com/stats.php?id=57767,
Rararaland,Whiskertoes,EUN,74,4,Vietnam War surplus,1,Good,7,3700,0,Arabia,0,Near Depletion,Small,4555,http://blocgame.com/stats.php?id=49272,
Al_Palane,CLixDix,Wreckage brothers,198,20,Persian Gulf War surplus,8,Good,47,3647,0,Arabia,0,Untapped,Very Powerful,54335,http://blocgame.com/stats.php?id=52847,
Islas Filipinas,Narciso Claveria y Zaldua,The Last Phoenix,4,0,Vietnam War surplus,2,Undisciplined Rabble,83,3851,0,East Indies,0,Untapped,Very Powerful,6249,http://blocgame.com/stats.php?id=48601,
Get Schwifty,Rick Sanchez,Inter/pol/,114,4,Korean War surplus,7,Good,13,4179,0,Arabia,0,0,Very Powerful,64778,http://blocgame.com/stats.php?id=57824,
Autistic Youth,lifehunter,Inter/pol/,4,11,Second World War surplus,2,Elite,2,2955,0,Egypt,0,0,None,27630,http://blocgame.com/stats.php?id=57918,
Clop,Dezmo55,UoHN,144,20,Second World War surplus,8,Elite,4,3600,200,East Indies,0,0,Very Powerful,51306,http://blocgame.com/stats.php?id=55813,
Ceannesburg,theorange0,Brotherhood of Zion,40,1,Second World War surplus,3,Elite,2,3643,0,Mesoamerica,0,Plentiful,Somewhat Large,16288,http://blocgame.com/stats.php?id=56500,
Feminism,BriannaWu,Brotherhood of Nod,5,0,Vietnam War surplus,3,Standard,153,3585,212,Amazonia,0,Untapped,Meagre,17080,http://blocgame.com/stats.php?id=55861,
Thermonia,Aluminothermic,0,170,12,Almost Modern,6,Elite,55,3589,18,China,0,Untapped,Very Powerful,22964,http://blocgame.com/stats.php?id=53567,
Butt,loliwut,S.T.A.L.K.E.R.,20,8,Korean War surplus,4,Elite,42,3658,0,The Subcontinent,0,Untapped,Powerful,27520,http://blocgame.com/stats.php?id=58078,
Toread,andkon,UoHN,190,19,Almost Modern,8,Standard,44,3550,0,The Subcontinent,1,Untapped,Powerful,50075,http://blocgame.com/stats.php?id=54530,
Masterton,Kaiser Tayman,The High Council,56,3,Finest of the 19th century,3,Elite,9,3627,0,Pacific Rim,0,Plentiful,Meagre,12665,http://blocgame.com/stats.php?id=55967,
Ilonia,Indigo Blues,Inter/pol/,143,11,Vietnam War surplus,6,Good,1,3527,0,Arabia,0,0,Very Powerful,51618,http://blocgame.com/stats.php?id=55914,
