country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
SOPF,Johnathinski Weston,The United Nations,8k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 64 hours ago,10 Hundred Tons per month,4 Mbbl per month,Central Planning,$2232 million,65 Mbbl; 4 Mbbl,Untapped,Somewhat Large,East Indies,Soviet Union,14460 km 2,http://blocgame.com/stats.php?id=62841,,
Alexandrastan,TWAIN,Brotherhood of Nod,55k active personnel,1 ships,Korean War surplus,Gandhi-like,2 factories,Good,last online 8 hours ago,10 Hundred Tons per month,6 Mbbl per month,Mixed Economy,$2226 million,1856 Mbbl; 6 Mbbl,Untapped,Somewhat Large,Mesopotamia,United States,28361 km 2,http://blocgame.com/stats.php?id=39070,,
Manturia-Korea,Maosecond,,102k active personnel,1 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 10 hours ago,22 Hundred Tons per month,10 Mbbl per month,Free Market,$2216 million,199 Mbbl,Untapped,Somewhat Large,China,United States,22792 km 2,http://blocgame.com/stats.php?id=64188,,
Ferma,President Jacobo Vincenzo,The Order,69k active personnel,1 ships,Korean War surplus,Gandhi-like,3 factories,Poor,last online 5 hours ago,25 Hundred Tons per month,,Free Market,$2204 million,178 Mbbl,Untapped,Large,Southern Cone,United States,27656 km 2,http://blocgame.com/stats.php?id=58784,,
Neechanville,Overlord-kun,Steel Brotherhood,74k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,online now,18 Hundred Tons per month,5 Mbbl per month,Central Planning,$2204 million,396 Mbbl; 5 Mbbl,Untapped,Somewhat Large,Gran Colombia,Soviet Union,27420 km 2,http://blocgame.com/stats.php?id=63023,,
Ghost Shark,Sharky,PIRATES,76k active personnel,9 ships,Second World War surplus,Nice,3 factories,Good,last online 2 hours ago,12 Hundred Tons per month,6 Mbbl per month,Free Market,$2193 million,134 Mbbl,Untapped,Large,East Indies,United States,49248 km 2,http://blocgame.com/stats.php?id=63863,,
Leinad,bloodywaffles12,The Order,99k active personnel,2 ships,Second World War surplus,Normal,3 factories,Standard,last online 11 hours ago,14 Hundred Tons per month,9 Mbbl per month,Central Planning,$2190 million,561 Mbbl; 9 Mbbl,Untapped,Somewhat Large,China,Soviet Union,19507 km 2,http://blocgame.com/stats.php?id=59332,,
Khuzestan,Georgy Zhukov,The Federal Colonies,79k active personnel,2 ships,Second World War surplus,Gandhi-like,3 factories,Elite,last online 2 hours ago,19 Hundred Tons per month,10 Mbbl per month,Central Planning,$2186 million,2951 Mbbl; 10 Mbbl,Untapped,Very Powerful,Persia,Soviet Union,42240 km 2,http://blocgame.com/stats.php?id=48914,2 Tons,
Jemut,iwaniman/Ferozz,PIRATES,77k active personnel,6 ships,Second World War surplus,Gandhi-like,5 factories,Good,online now,25 Hundred Tons per month,17 Mbbl per month,Mixed Economy,$2182 million,247 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,38415 km 2,http://blocgame.com/stats.php?id=61811,,
Psilocybis,Lysergix,Brotherhood of Nod,34k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 15 hours ago,11 Hundred Tons per month,8 Mbbl per month,Central Planning,$2177 million,5047 Mbbl; 8 Mbbl,Untapped,Large,Persia,Soviet Union,19602 km 2,http://blocgame.com/stats.php?id=62795,,
SettingMoon,Hawk,The Order,36k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Good,last online 16 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$2171 million,427 Mbbl; 5 Mbbl,Untapped,Powerful,East Indies,Soviet Union,17107 km 2,http://blocgame.com/stats.php?id=62839,,
