country,leader,alliance,army_size,navy,equipment,reputation,factories,training,last_online,rm_prod,oil_prod,econsystem,gdp,oil_reserves,manpower,airforce,region,alignment,territory,pageUrl,uranium,reactor
Nimei,Xitler,Illuminati,4k active personnel,0 ships,First World War surplus,Nice,1 factory,Elite,last online 5 hours ago,17 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1267 million,210 Mbbl; 10 Mbbl,Untapped,Mediocre,China,Neutral,11033 km 2,http://blocgame.com/stats.php?id=64022,,
Pokok Sena,bobit2,PIRATES,40k active personnel,0 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 12 hours ago,7 Hundred Tons per month,3 Mbbl per month,Central Planning,$1266 million,409 Mbbl,Untapped,Very Powerful,East Indies,Soviet Union,22935 km 2,http://blocgame.com/stats.php?id=63144,,
schekels,appollyon,The Order,7k active personnel,0 ships,First World War surplus,Gandhi-like,None,Undisciplined Rabble,last online 79 hours ago,13 Hundred Tons per month,5 Mbbl per month,Central Planning,$1265 million,20 Mbbl,Untapped,None,East Africa,Soviet Union,7646 km 2,http://blocgame.com/stats.php?id=63381,,
Darkstone,Trakel,The Divine Council,121k active personnel,1 ships,First World War surplus,Gandhi-like,3 factories,Good,last online 7 hours ago,36 Hundred Tons per month,23 Mbbl per month,Central Planning,$1264 million,7229 Mbbl; 23 Mbbl,Untapped,Powerful,Arabia,Soviet Union,53039 km 2,http://blocgame.com/stats.php?id=57176,,
FuchukFakhu,KondaKondi,PIRATES,21k active personnel,4 ships,Second World War surplus,Gandhi-like,2 factories,Undisciplined Rabble,online now,18 Hundred Tons per month,3 Mbbl per month,Free Market,$1264 million,92 Mbbl; 3 Mbbl,Depleted,Somewhat Large,Southern Africa,United States,9655 km 2,http://blocgame.com/stats.php?id=61483,,
Moneymaking,Bill Gates,Steel Brotherhood,24k active personnel,0 ships,First World War surplus,Gandhi-like,1 factory,Good,last online 15 hours ago,11 Hundred Tons per month,11 Mbbl per month,Free Market,$1262 million,2042 Mbbl; 11 Mbbl,Plentiful,None,Arabia,United States,9360 km 2,http://blocgame.com/stats.php?id=64271,,
Llorxye,qiffahsy,PIRATES,86k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Elite,last online 5 hours ago,15 Hundred Tons per month,3 Mbbl per month,Central Planning,$1261 million,15 Mbbl; 3 Mbbl,Untapped,Large,East Indies,Soviet Union,25801 km 2,http://blocgame.com/stats.php?id=61688,,
Andes,Murtox,The Divine Council,58k active personnel,0 ships,Second World War surplus,Nice,3 factories,Standard,last online 2 hours ago,21 Hundred Tons per month,4 Mbbl per month,Central Planning,$1253 million,321 Mbbl,Untapped,Somewhat Large,Gran Colombia,Soviet Union,29615 km 2,http://blocgame.com/stats.php?id=51547,,
OnePiece,AkiManang,PIRATES,69k active personnel,1 ships,First World War surplus,Angelic,2 factories,Standard,last online 1 hours ago,15 Hundred Tons per month,13 Mbbl per month,Central Planning,$1252 million,7477 Mbbl,,Powerful,Persia,Neutral,33333 km 2,http://blocgame.com/stats.php?id=63126,,
Melaka,Hang Tuah,The Divine Council,13k active personnel,0 ships,Korean War surplus,Isolated,2 factories,Good,last online 2 hours ago,17 Hundred Tons per month,5 Mbbl per month,Central Planning,$1246 million,313 Mbbl; 5 Mbbl,Plentiful,Powerful,East Indies,Soviet Union,30962 km 2,http://blocgame.com/stats.php?id=57146,,
Gobi,Saint Gobi,The Order,83k active personnel,3 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 17 hours ago,33 Hundred Tons per month,10 Mbbl per month,Mixed Economy,$1244 million,488 Mbbl,Untapped,Large,Congo,United States,27032 km 2,http://blocgame.com/stats.php?id=61919,,
SemutHitam,JohnCool,PIRATES,55k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 1 hours ago,16 Hundred Tons per month,11 Mbbl per month,Free Market,$1240 million,211 Mbbl,,Mediocre,Indochina,Neutral,12382 km 2,http://blocgame.com/stats.php?id=62379,,
New Wadowice,anone2137,The Order,69k active personnel,1 ships,Second World War surplus,Gandhi-like,2 factories,Good,last online 9 hours ago,21 Hundred Tons per month,11 Mbbl per month,Central Planning,$1239 million,2174 Mbbl; 11 Mbbl,Untapped,Large,Atlas,Soviet Union,44785 km 2,http://blocgame.com/stats.php?id=61637,,
Norwegia,Thornir,The Order,78k active personnel,0 ships,Korean War surplus,Gandhi-like,2 factories,Standard,last online 1 hours ago,9 Hundred Tons per month,5 Mbbl per month,Central Planning,$1238 million,2347 Mbbl,Untapped,Somewhat Large,Atlas,Soviet Union,14007 km 2,http://blocgame.com/stats.php?id=30,,5%
Bahamat,Gamersauce,The Khilafah,67k active personnel,0 ships,Second World War surplus,Gandhi-like,1 factory,Standard,last online 8 hours ago,21 Hundred Tons per month,9 Mbbl per month,Free Market,$1237 million,168 Mbbl,Near Depletion,Mediocre,The Subcontinent,United States,24805 km 2,http://blocgame.com/stats.php?id=64061,,
Bantersciz,Banterscnizzle Cuperpatch,ISIS,28k active personnel,0 ships,First World War surplus,Good,2 factories,Undisciplined Rabble,last online 19 hours ago,4 Hundred Tons per month,3 Mbbl per month,Mixed Economy,$1236 million,305 Mbbl,Near Depletion,None,Southern Africa,Neutral,5430 km 2,http://blocgame.com/stats.php?id=63604,,
